t_wall_s,elapsed_s,side,cam,temp_c
1783361254.1,151.4,right,4,12.88
1783361254.1,151.4,right,5,33.68
1783361254.1,151.4,right,6,18.51
1783361254.1,151.4,right,7,11.48
1783361259.1,156.5,left,imu,33.51
1783361259.1,156.5,left,0,9.06
1783361259.1,156.5,left,1,29.23
1783361259.1,156.5,left,2,29.36
1783361259.1,156.5,left,3,29.08
1783361259.1,156.5,left,4,29.86
1783361259.1,156.5,left,5,30.60
1783361259.1,156.5,left,6,29.62
1783361259.1,156.5,left,7,29.04
1783361259.1,156.5,right,imu,28.04
1783361259.1,156.5,right,0,23.93
1783361259.1,156.5,right,1,22.59
1783361259.1,156.5,right,2,24.41
1783361259.1,156.5,right,3,47.27
1783361259.1,156.5,right,4,12.88
1783361259.1,156.5,right,5,5.59
1783361259.1,156.5,right,6,37.70
1783361259.1,156.5,right,7,11.10
1783361264.2,161.5,left,imu,33.32
1783361264.2,161.5,left,0,16.04
1783361264.2,161.5,left,1,28.86
1783361264.2,161.5,left,2,31.77
1783361264.2,161.5,left,3,42.12
1783361264.2,161.5,left,4,29.86
1783361264.2,161.5,left,5,29.62
1783361264.2,161.5,left,6,31.59
1783361264.2,161.5,left,7,29.19
1783361264.2,161.5,right,imu,28.14
1783361264.2,161.5,right,0,23.55
1783361264.2,161.5,right,1,22.59
1783361264.2,161.5,right,2,20.86
1783361264.2,161.5,right,3,49.69
1783361264.2,161.5,right,4,12.50
1783361264.2,161.5,right,5,51.70
1783361264.2,161.5,right,6,28.18
1783361264.2,161.5,right,7,11.25
1783361269.2,166.6,left,imu,33.56
1783361269.2,166.6,left,0,22.79
1783361269.2,166.6,left,1,30.68
1783361269.2,166.6,left,2,29.29
1783361269.2,166.6,left,3,18.67
1783361269.2,166.6,left,4,30.16
1783361269.2,166.6,left,5,30.30
1783361269.2,166.6,left,6,30.23
1783361269.2,166.6,left,7,29.19
1783361269.2,166.6,right,imu,28.04
1783361269.2,166.6,right,0,24.00
1783361269.2,166.6,right,1,22.52
1783361269.2,166.6,right,2,23.35
1783361269.2,166.6,right,3,6.29
1783361269.2,166.6,right,4,12.20
1783361269.2,166.6,right,5,49.90
1783361269.2,166.6,right,6,28.18
1783361269.2,166.6,right,7,11.10
1783361274.3,171.6,left,imu,33.36
1783361274.3,171.6,left,0,28.25
1783361274.3,171.6,left,1,31.36
1783361274.3,171.6,left,2,29.36
1783361274.3,171.6,left,3,44.46
1783361274.3,171.6,left,4,29.86
1783361274.3,171.6,left,5,30.52
1783361274.3,171.6,left,6,29.09
1783361274.3,171.6,left,7,29.11
1783361274.3,171.6,right,imu,28.09
1783361274.3,171.6,right,0,23.93
1783361274.3,171.6,right,1,22.52
1783361274.3,171.6,right,2,28.32
1783361274.3,171.6,right,3,5.91
1783361274.3,171.6,right,4,11.75
1783361274.3,171.6,right,5,4.54
1783361274.3,171.6,right,6,28.26
1783361274.3,171.6,right,7,10.88
1783361279.3,176.7,left,imu,33.70
1783361279.3,176.7,left,0,27.57
1783361279.3,176.7,left,1,28.10
1783361279.3,176.7,left,2,49.70
1783361279.3,176.7,left,3,45.52
1783361279.3,176.7,left,4,30.31
1783361279.3,176.7,left,5,29.62
1783361279.3,176.7,left,6,29.55
1783361279.3,176.7,left,7,28.73
1783361279.3,176.7,right,imu,28.04
1783361279.3,176.7,right,0,24.00
1783361279.3,176.7,right,1,22.29
1783361279.3,176.7,right,2,26.44
1783361279.3,176.7,right,3,5.45
1783361279.3,176.7,right,4,11.75
1783361279.3,176.7,right,5,52.23
1783361279.3,176.7,right,6,28.26
1783361279.3,176.7,right,7,16.34
1783361284.3,181.7,left,imu,33.75
1783361284.3,181.7,left,0,27.49
1783361284.3,181.7,left,1,28.10
1783361284.3,181.7,left,2,49.92
1783361284.3,181.7,left,3,47.55
1783361284.3,181.7,left,4,30.01
1783361284.3,181.7,left,5,30.00
1783361284.3,181.7,left,6,30.99
1783361284.3,181.7,left,7,27.52
1783361284.3,181.7,right,imu,28.14
1783361284.3,181.7,right,0,23.47
1783361284.3,181.7,right,1,22.29
1783361284.3,181.7,right,2,26.36
1783361284.3,181.7,right,3,5.07
1783361284.3,181.7,right,4,11.37
1783361284.3,181.7,right,5,52.30
1783361284.3,181.7,right,6,28.33
1783361284.3,181.7,right,7,24.39
